"tenantid","applicationno","actioninprocessinstance","currentstatus","expectedstatus"
"od.berhampur","BP-BAM-2021-12-28-000221","SEND_TO_ARCHITECT","CITIZEN_APPROVAL_INPROCESS","INITIATED"
"od.berhampur","BP-BAM-2022-05-15-003627","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.berhampur","BP-BAM-2022-06-01-003942","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.berhampur","BP-BAM-2022-06-03-004250","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.berhampur","BP-BAM-2022-06-09-004488","SEND_TO_CITIZEN","INITIATED","CITIZEN_APPROVAL_INPROCESS"
"od.berhampur","BP-BAM-2022-06-09-004489","SEND_TO_CITIZEN","INITIATED","CITIZEN_APPROVAL_INPROCESS"
"od.berhampur","BP-BAM-2022-06-09-004491","SEND_TO_CITIZEN","INITIATED","CITIZEN_APPROVAL_INPROCESS"
"od.berhampur","BP-BAM-2022-06-09-004492","SEND_TO_CITIZEN","INITIATED","CITIZEN_APPROVAL_INPROCESS"
"od.berhampur","BP-BAM-2022-06-10-004570","SEND_TO_CITIZEN","INITIATED","CITIZEN_APPROVAL_INPROCESS"
"od.berhampur","BP-BAM-2022-06-10-004574","SEND_TO_CITIZEN","INITIATED","CITIZEN_APPROVAL_INPROCESS"
"od.berhampur","BP-BAM-2022-06-10-004579","SEND_TO_CITIZEN","INITIATED","CITIZEN_APPROVAL_INPROCESS"
"od.berhampur","BP-BAM-2022-06-16-004745","SEND_TO_CITIZEN","INPROGRESS","CITIZEN_APPROVAL_INPROCESS"
"od.berhampur","BP-BAM-2022-06-29-005568","APPLY","INPROGRESS","PENDING_APPL_FEE"
"od.berhampur","BP-BAM-2022-07-01-005626","FORWARD","DOC_VERIFICATION_INPROGRESS","FIELDINSPECTION_INPROGRESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-02-14-000858","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-02-19-000987","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-03-20-001837","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-04-04-002198","SEND_TO_CITIZEN","INPROGRESS","CITIZEN_APPROVAL_INPROCESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-04-12-002491","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-04-21-002706","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-04-22-002763","SEND_BACK_TO_CITIZEN","DOC_VERIFICATION_INPROGRESS","CITIZEN_ACTION_PENDING_AT_DOC_VERIF"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-04-23-002791","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-04-27-002937","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-05-02-003118","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-05-13-003572","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-05-13-003581","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-05-13-003583","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-05-30-003866","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-06-07-004442","SEND_TO_CITIZEN","INITIATED","CITIZEN_APPROVAL_INPROCESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-06-09-004507","SEND_TO_CITIZEN","INITIATED","CITIZEN_APPROVAL_INPROCESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-06-23-005028","APPROVE","PENDING_APPL_FEE","INPROGRESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-06-27-005465","FORWARD","DOC_VERIFICATION_INPROGRESS","FIELDINSPECTION_INPROGRESS"
"od.berhampurdevelopmentauthority","BP-BED-2022-06-10-004580","SEND_TO_CITIZEN","INITIATED","CITIZEN_APPROVAL_INPROCESS"
"od.bhubaneswar","BP-BMC-2022-01-21-000489","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.bhubaneswar","BP-BMC-2022-01-28-000563","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.bhubaneswar","BP-BMC-2022-02-04-000688","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswar","BP-BMC-2022-02-16-000902","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswar","BP-BMC-2022-02-17-000918","APPROVE","PENDING_APPL_FEE","INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-02-21-001012","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswar","BP-BMC-2022-03-03-001334","SEND_BACK_TO_CITIZEN","APP_L1_VERIFICATION_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APP_L1_VERIF"
"od.bhubaneswar","BP-BMC-2022-03-05-001395","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswar","BP-BMC-2022-03-08-001501","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.bhubaneswar","BP-BMC-2022-03-11-001608","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswar","BP-BMC-2022-03-25-001941","SEND_BACK_TO_CITIZEN","DOC_VERIFICATION_INPROGRESS","CITIZEN_ACTION_PENDING_AT_DOC_VERIF"
"od.bhubaneswar","BP-BMC-2022-04-20-002679","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.bhubaneswar","BP-BMC-2022-04-29-003037","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.bhubaneswar","BP-BMC-2022-05-01-003096","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswar","BP-BMC-2022-06-04-004325","SEND_TO_CITIZEN","INITIATED","CITIZEN_APPROVAL_INPROCESS"
"od.bhubaneswar","BP-BMC-2022-06-09-004505","SEND_TO_CITIZEN","INITIATED","CITIZEN_APPROVAL_INPROCESS"
"od.bhubaneswar","BP-BMC-2022-06-09-004510","SEND_TO_CITIZEN","INITIATED","CITIZEN_APPROVAL_INPROCESS"
"od.bhubaneswar","BP-BMC-2022-06-09-004511","SEND_TO_CITIZEN","INITIATED","CITIZEN_APPROVAL_INPROCESS"
"od.bhubaneswar","BP-BMC-2022-06-10-004518","SEND_TO_CITIZEN","INITIATED","CITIZEN_APPROVAL_INPROCESS"
"od.bhubaneswar","BP-BMC-2022-06-10-004560","SEND_TO_CITIZEN","INITIATED","CITIZEN_APPROVAL_INPROCESS"
"od.bhubaneswar","BP-BMC-2022-06-10-004564","SEND_TO_CITIZEN","INITIATED","CITIZEN_APPROVAL_INPROCESS"
"od.bhubaneswar","BP-BMC-2022-06-10-004565","SEND_TO_CITIZEN","INITIATED","CITIZEN_APPROVAL_INPROCESS"
"od.bhubaneswar","BP-BMC-2022-06-10-004566","SEND_TO_CITIZEN","INITIATED","CITIZEN_APPROVAL_INPROCESS"
"od.bhubaneswar","BP-BMC-2022-06-10-004568","SEND_TO_ARCHITECT","CITIZEN_APPROVAL_INPROCESS","INITIATED"
"od.bhubaneswar","BP-BMC-2022-06-10-004575","SEND_TO_CITIZEN","INITIATED","CITIZEN_APPROVAL_INPROCESS"
"od.bhubaneswar","BP-BMC-2022-06-11-004608","SEND_TO_CITIZEN","INITIATED","CITIZEN_APPROVAL_INPROCESS"
"od.bhubaneswar","BP-BMC-2022-06-14-004710","SEND_TO_ARCHITECT","CITIZEN_APPROVAL_INPROCESS","INITIATED"
"od.bhubaneswar","BP-BMC-2022-06-18-004865","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswar","BP-BMC-2022-06-29-005545","APPLY","INPROGRESS","PENDING_APPL_FEE"
