"ulb","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate","createdby"
"Bhubaneswar","BP-BMC-2022-03-02-001295","BPA1","2022-03-02",NULL,"INITIATED",NULL,NULL,"a5568cc5-e1af-4448-877d-4e9d8352e187"
"Cuttack","OD-BP-2021-02-12-000003","BPA1","2021-02-12",NULL,"PENDING_APPL_FEE",NULL,NULL,"6dee4a09-b245-4c88-a533-167186db8527"
"Sambalpur","BP-SMB-2022-02-10-000794","BPA1","2022-02-10",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"74f05717-56d7-40d3-a07a-292b257cc0e4"
"Rourkela","BP-RRK-2021-10-01-000080","BPA1","2021-10-01",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"0d2957d0-4736-4b49-8640-1605e5d0a041"
"Bhubaneswar","BP-BMC-2022-03-01-001253","BPA1","2022-03-01",NULL,"INITIATED",NULL,NULL,"7d23ba5c-1a24-49dc-a5b3-937d05be7e49"
"Sambalpur","BP-SMB-2021-12-09-000187","BPA1","2021-12-09",NULL,"INITIATED",NULL,NULL,"a281cf0f-59d7-4b48-8cb6-c738d6fc86a3"
"Cuttackdevelopmentauthority","BP-CDA-2022-03-09-001550","BPA2","2022-03-09",NULL,"INITIATED",NULL,NULL,"945f45e1-1f9b-49c6-b8ef-4a91663cdfd5"
"Rourkela","BP-RRK-2022-01-07-000271","BPA1","2022-01-07",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"67e9952b-5b26-4234-a59f-d3e3594046a9"
"Cuttack","OD-BP-2021-02-12-000004","BPA1","2021-02-12","2021-02-12","APPROVED","OD-BP-2021-02-12-000003","2021-02-12","f45e7ac1-2c81-476d-b4e2-91f2b257b4db"
"Rourkela","BP-RRK-2021-11-16-000155","BPA1","2021-11-16","2021-12-02","APPROVED","BP/RRK/000015","2021-12-10","0d2957d0-4736-4b49-8640-1605e5d0a041"
"Rourkela","BP-RRK-2021-11-16-000154","BPA1","2021-11-16","2021-12-03","APPROVED","BP/RRK/000027","2022-01-11","0d2957d0-4736-4b49-8640-1605e5d0a041"
"Cuttack","OD-BP-2021-02-12-000001","BPA1","2021-02-12","2021-02-12","APPROVED","OD-BP-2021-02-12-000001","2021-02-12","7e03d254-f01e-4d62-95dc-282556c8e1e2"
"Sambalpur","OD-BP-2021-07-14-000073","BPA1","2021-07-14","2021-07-16","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL,"a281cf0f-59d7-4b48-8cb6-c738d6fc86a3"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-02-000649","BPA1","2022-02-02",NULL,"INITIATED",NULL,NULL,"a5568cc5-e1af-4448-877d-4e9d8352e187"
"Rourkela","BP-RRK-2021-09-21-000079","BPA1","2021-09-21",NULL,"APPROVED","BP/RRK/000009","2021-11-24","0d2957d0-4736-4b49-8640-1605e5d0a041"
"Sambalpur","BP-SMB-2021-09-03-000075","BPA1","2021-09-03","2021-09-03","APPROVED","BP-SMB-2021-09-07-000004","2021-09-07","a281cf0f-59d7-4b48-8cb6-c738d6fc86a3"
"Berhampur","BP-BAM-2021-11-16-000157","BPA1","2021-11-16","2021-11-16","FIELDINSPECTION_INPROGRESS",NULL,NULL,"f1a434a0-8a91-4e6f-95f1-699260b1a554"
"Rourkela","BP-RRK-2021-09-13-000078","BPA1","2021-09-13","2021-09-13","APPROVED","BP/RRK/000005","2021-09-18","5219da3d-c74f-4c1e-b68f-d1dbe4df5fda"
"Rourkela","BP-RRK-2021-11-20-000166","BPA1","2021-11-20","2021-11-23","APPROVED","BP/RRK/000013","2021-12-04","0d2957d0-4736-4b49-8640-1605e5d0a041"
"Rourkela","BP-RRK-2021-09-13-000076","BPA1","2021-09-13","2021-09-13","APPROVED","BP/RRK/000007",NULL,"c03bf043-7a29-4b74-b4de-6d3a2047ada6"
"Cuttack","BP-CTC-2022-04-12-002477","BPA3","2022-04-12",NULL,"INITIATED",NULL,NULL,"de3477e2-6c7d-49a3-b10c-80ee9660d27a"
"Rourkela","BP-RRK-2021-09-13-000077","BPA1","2021-09-13",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"5219da3d-c74f-4c1e-b68f-d1dbe4df5fda"
"Berhampur","BP-BAM-2022-04-22-002773","BPA1","2022-04-22",NULL,"INITIATED",NULL,NULL,"f236e7f3-dcb1-41f2-9e3e-656e34abac36"
"Sambalpur","BP-SMB-2021-08-15-000074","BPA2","2021-08-15","2021-08-30","APPROVED","BP/SMB/000006","2021-09-21","a281cf0f-59d7-4b48-8cb6-c738d6fc86a3"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-08-000737","BPA1","2022-02-08",NULL,"INITIATED",NULL,NULL,"a5568cc5-e1af-4448-877d-4e9d8352e187"
"Rourkela","BP-RRK-2021-12-03-000174","BPA1","2021-12-03","2021-12-15","APPROVED","BP/RRK/000026","2022-01-08","0d2957d0-4736-4b49-8640-1605e5d0a041"
"Bhubaneswar","BP-BMC-2022-01-13-000347","BPA1","2022-01-13",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"04a77734-e1da-4d41-bd62-ccf63f844cd0"
"Sambalpur","BP-SMB-2022-01-14-000354","BPA1","2022-01-14",NULL,"INITIATED",NULL,NULL,"a281cf0f-59d7-4b48-8cb6-c738d6fc86a3"
"Sambalpur","BP-SMB-2022-01-16-000379","BPA1","2022-01-16",NULL,"INITIATED",NULL,NULL,"74f05717-56d7-40d3-a07a-292b257cc0e4"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-01-23-000514","BPA1","2022-01-23",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"0ab33c0f-8b61-47c1-8ac0-72087784baef"
"Bhubaneswar","BP-BMC-2022-04-02-002115","BPA2","2022-04-02",NULL,"PENDING_APPL_FEE",NULL,NULL,"658fc06a-a16c-4d56-b8a8-193a40fbaee1"
"Rourkela","BP-RRK-2021-11-16-000158","BPA1","2021-11-16","2021-12-02","APPROVED","BP/RRK/000022","2021-12-21","0d2957d0-4736-4b49-8640-1605e5d0a041"
"Berhampur","BP-BAM-2021-12-27-000217","BPA1","2021-12-27",NULL,"INITIATED",NULL,NULL,"f1a434a0-8a91-4e6f-95f1-699260b1a554"
"Berhampur","BP-BAM-2021-11-15-000152","BPA1","2021-11-15","2021-11-15","FIELDINSPECTION_INPROGRESS",NULL,NULL,"f1a434a0-8a91-4e6f-95f1-699260b1a554"
"Rourkela","BP-RRK-2021-12-20-000202","BPA1","2021-12-20","2021-12-21","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL,"0d2957d0-4736-4b49-8640-1605e5d0a041"
"Bhubaneswar","BP-BMC-2022-01-26-000542","BPA1","2022-01-26",NULL,"INITIATED",NULL,NULL,"34e92490-faea-48b0-9460-5748e94c54de"
"Cuttack","OD-BP-2021-02-12-000002","BPA3","2021-02-12","2021-02-12","APPROVED","OD-BP-2021-02-12-000002","2021-02-12","7e03d254-f01e-4d62-95dc-282556c8e1e2"
"Berhampur","BP-BAM-2021-11-18-000162","BPA1","2021-11-18","2021-11-20","APPROVED","BP/BAM/000010","2021-11-27","f1a434a0-8a91-4e6f-95f1-699260b1a554"
"Bhubaneswar","BP-BMC-2022-02-11-000810","BPA1","2022-02-11",NULL,"INITIATED",NULL,NULL,"658fc06a-a16c-4d56-b8a8-193a40fbaee1"
"Rourkela","BP-RRK-2022-01-15-000361","BPA1","2022-01-15",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"01bfd205-faa3-4d4f-bcba-f9762f16eeb3"
"Bhubaneswar","BP-BMC-2022-03-14-001665","BPA1","2022-03-14","2022-04-11","FIELDINSPECTION_INPROGRESS",NULL,NULL,"2122da4f-0574-4075-8738-da7094ae6934"
