"ulb","status","count"
"Bhubaneswar","CITIZEN_ACTION_PENDING_AT_APP_L1_VERIF",6
"Sundargarh","FIELDINSPECTION_INPROGRESS",3
"Sambalpur","INITIATED",11
"Cuttack","CITIZEN_ACTION_PENDING_AT_APP_L1_VERIF",3
"Sambalpur","APPROVED",34
"Berhampur","INITIATED",54
"Bhubaneswardevelopmentauthority","PENDING_ARCHITECT_ACTION_FOR_REWORK",3
"Sambalpur","CITIZEN_APPROVAL_INPROCESS",9
"Cuttack","APPROVAL_INPROGRESS",5
"Bhubaneswar","REJECTED",2
"Bhubaneswardevelopmentauthority","APPROVAL_INPROGRESS",53
"Sundargarh","INPROGRESS",1
"Khordha","DOC_VERIFICATION_INPROGRESS",8
"Rourkela","REJECTED",5
"Rourkela","CITIZEN_ACTION_PENDING_AT_APP_L1_VERIF",1
"Vyasanagar","INITIATED",1
"Bhubaneswardevelopmentauthority","INPROGRESS",3
"Bhubaneswar","FIELDINSPECTION_INPROGRESS",310
"Sundargarh","CITIZEN_APPROVAL_INPROCESS",1
"Purikonarkdevelopmentauthority","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",1
"Cuttack","DOC_VERIFICATION_INPROGRESS",16
"Sambalpur","APP_L1_VERIFICATION_INPROGRESS",1
"Cuttack","APPROVED",54
"Bhubaneswardevelopmentauthority","CITIZEN_ACTION_PENDING_AT_APP_L2_VERIF",1
"Cuttack","FIELDINSPECTION_INPROGRESS",1
"Rourkeladevelopmentauthority","CITIZEN_APPROVAL_INPROCESS",1
"Berhampurdevelopmentauthority","APPROVED",47
"Bhubaneswar","APPROVED",74
"Pipli","DOC_VERIFICATION_INPROGRESS",1
"Khordha","CITIZEN_APPROVAL_INPROCESS",2
"Chatrapur","DOC_VERIFICATION_INPROGRESS",1
"Rourkela","INITIATED",15
"Sambalpur","REJECTED",4
"Bhubaneswardevelopmentauthority","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",10
"Cuttackdevelopmentauthority","INITIATED",5
"Berhampurdevelopmentauthority","APPROVAL_INPROGRESS",9
"Sundargarh","APPROVAL_INPROGRESS",3
"Khordha","PENDING_APPL_FEE",1
"Rourkela","APPROVED",82
"Cuttack","APP_L1_VERIFICATION_INPROGRESS",1
"Berhampurdevelopmentauthority","PENDING_SANC_FEE_PAYMENT",4
"Rourkeladevelopmentauthority","INITIATED",2
