"id","documenttype","filestoreid","documentuid","buildingplanid","additionaldetails","createdby","lastmodifiedby","createdtime","lastmodifiedtime"
"a073b3f2-7c11-485c-a715-fb89a060ddc7","APPL.OTHERDOCUMENT","08caf9ef-ca84-4343-b36d-4fb0572d0a90",NULL,"f53462a4-cc3b-4e4f-88cf-fbb98e00a3ec","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1657123443506}","8cfc0d3f-fe1c-4e29-b551-aa166e33a7ed","8cfc0d3f-fe1c-4e29-b551-aa166e33a7ed",1655389798164,1657123506717
"8db4794e-f57c-44af-8b85-8a843b9e1b95","APPL.SALEGIFTDEED.SALEGIFTDEED","89f70144-4d84-4b4f-a060-3038522bd8ef",NULL,"b2ea4399-de34-4f9c-9f03-6b42e3bbfa0b","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1644641058083}","74f05717-56d7-40d3-a07a-292b257cc0e4","74f05717-56d7-40d3-a07a-292b257cc0e4",1644250720848,1646388480596
"11086e91-66ec-444d-8bf8-711facbd9773","APPL.ROR.ROR","96d11d42-c1a4-47b2-8510-aaa7cacdd949",NULL,"b2ea4399-de34-4f9c-9f03-6b42e3bbfa0b","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1644640844412}","74f05717-56d7-40d3-a07a-292b257cc0e4","74f05717-56d7-40d3-a07a-292b257cc0e4",1644250720848,1644685013506
"92b686a8-ce7f-4c3d-add0-b4ceeebbab6e","APPL.LANDPOSSAFFI.LANDPOSSAFFI","2303c7b8-2d09-4e2a-80af-93af5345601a",NULL,"f53462a4-cc3b-4e4f-88cf-fbb98e00a3ec","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1657123370983}","8cfc0d3f-fe1c-4e29-b551-aa166e33a7ed","8cfc0d3f-fe1c-4e29-b551-aa166e33a7ed",1655389798164,1657123501682
"f865e032-a992-463b-82b0-a44bc14b1589","APPL.REVSITEPLAN.REVSITEPLAN","0b10b587-3034-42f9-9172-ae569e5640e8",NULL,"b2ea4399-de34-4f9c-9f03-6b42e3bbfa0b","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1644640944049}","74f05717-56d7-40d3-a07a-292b257cc0e4","74f05717-56d7-40d3-a07a-292b257cc0e4",1644250720848,1644685013506
"91e85b4b-1328-4883-a61c-82b5dd3e0f24","BPD.BPL.BPL","e3dfea93-4802-4338-8673-f7f16c92f5e5",NULL,"b2ea4399-de34-4f9c-9f03-6b42e3bbfa0b","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1644641186801}","74f05717-56d7-40d3-a07a-292b257cc0e4","74f05717-56d7-40d3-a07a-292b257cc0e4",1644250720848,1644685013506
"62b1ce11-9838-47af-9b44-48f2c807b909","BPD.SSUPCERT.SSUPCERT","0fa0c07a-bd12-4785-954a-008fb530889b",NULL,"b2ea4399-de34-4f9c-9f03-6b42e3bbfa0b","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1644642930229}","74f05717-56d7-40d3-a07a-292b257cc0e4","74f05717-56d7-40d3-a07a-292b257cc0e4",1644250720848,1644685013506
"05d12dcf-dcec-452b-a40b-03ce12e27fa1","ADDL.BENCHMARKCERTIFICATE.BENCHMARKCERTIFICATE","920e3d62-9137-4a1f-a559-4e481685d9ac",NULL,"b2ea4399-de34-4f9c-9f03-6b42e3bbfa0b","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1644644181972}","74f05717-56d7-40d3-a07a-292b257cc0e4","74f05717-56d7-40d3-a07a-292b257cc0e4",1644250720848,1644685013506
"bf309797-b884-415f-8685-84242a2886cd","ADDL.REGULARISATIONANNEXUREI.REGULARISATIONANNEXUREI","5ecc6fb1-fcc2-4af2-a82a-c34b351d6229",NULL,"b2ea4399-de34-4f9c-9f03-6b42e3bbfa0b","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1644644190987}","74f05717-56d7-40d3-a07a-292b257cc0e4","74f05717-56d7-40d3-a07a-292b257cc0e4",1644250720848,1644685013506
"07977053-8d4f-433b-96d9-4fffc46d9ef3","APPL.IDENTITYPROOF.DRIVINGLICENSE","1d7ceb72-44bb-4041-8f2e-c7cf72aae581",NULL,"b2ea4399-de34-4f9c-9f03-6b42e3bbfa0b","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1644640783278}","74f05717-56d7-40d3-a07a-292b257cc0e4","74f05717-56d7-40d3-a07a-292b257cc0e4",1644250720848,1646388480596
"22950922-c0d2-4320-8074-2b59f4b10d4b","APPL.OWNERIDPROOF.DRIVINGLICENSE","1009e25d-82d1-4508-af91-ae162afdde58",NULL,"b2ea4399-de34-4f9c-9f03-6b42e3bbfa0b","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1644640794465}","74f05717-56d7-40d3-a07a-292b257cc0e4","74f05717-56d7-40d3-a07a-292b257cc0e4",1644250720848,1646388480596
"1d647145-1d0a-4cdf-9f42-4d721282fbf8","APPL.LANDPOSSAFFI.LANDPOSSAFFI","aeeb38f9-d5d3-46f3-9919-0281a6fa63fa",NULL,"b2ea4399-de34-4f9c-9f03-6b42e3bbfa0b","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1644641007600}","74f05717-56d7-40d3-a07a-292b257cc0e4","74f05717-56d7-40d3-a07a-292b257cc0e4",1644250720848,1646388480596
"d2d5bf3b-a0bb-4a43-8138-5b520f358453","BPD.SP.SP","9c8b2175-8ee1-41a4-a7e2-44028edfc060",NULL,"b2ea4399-de34-4f9c-9f03-6b42e3bbfa0b","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1644641224841}","74f05717-56d7-40d3-a07a-292b257cc0e4","74f05717-56d7-40d3-a07a-292b257cc0e4",1644250720848,1646388480596
"1698d95b-c7ea-44cc-b70f-d85b66c8530f","BPD.LP.LP","60db9494-26dc-4c91-92f1-359c81a09602",NULL,"b2ea4399-de34-4f9c-9f03-6b42e3bbfa0b","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1644641232727}","74f05717-56d7-40d3-a07a-292b257cc0e4","74f05717-56d7-40d3-a07a-292b257cc0e4",1644250720848,1646388480596
"eb426133-c7c3-4b15-8f58-05b1d48ebcb7","BPD.SITEPHOTO.SITEPHOTO","5d1e6386-a590-4204-87e9-760bfe0cfeb2",NULL,"b2ea4399-de34-4f9c-9f03-6b42e3bbfa0b","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1644642948202}","74f05717-56d7-40d3-a07a-292b257cc0e4","74f05717-56d7-40d3-a07a-292b257cc0e4",1644250720848,1646388480596
"0caab3ff-32e1-4e51-850d-b0f97afaadb7","BPD.BPL.BPL","3d334d0f-4798-491b-b659-df21a99e0d0f",NULL,"57dba5ac-1217-4b05-8acb-d04b14eba3d2","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1655220202168}","2e4f4d4d-a4f7-46f9-bf66-68c7bcdea550","2e4f4d4d-a4f7-46f9-bf66-68c7bcdea550",1655219785283,1656996876883
"266f5a23-39b4-4f09-bb83-1cc025b7d17e","BPD.SITEPHOTO.SITEPHOTO","bb14cc9c-34f1-4ccc-88cc-4fe36b4fbd1a",NULL,"57dba5ac-1217-4b05-8acb-d04b14eba3d2","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1655220389150}","2e4f4d4d-a4f7-46f9-bf66-68c7bcdea550","2e4f4d4d-a4f7-46f9-bf66-68c7bcdea550",1655219785283,1656996876883
"19c25983-e116-4505-bf69-aed588b3894c","APPL.SALEGIFTDEED.SALEGIFTDEED","f8415789-64fb-4bd7-a753-c3d05a7faa90",NULL,"6ea5b551-6074-4135-99c9-69ad99f03e4c","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1653892301995}","01fb12ac-cac4-4ef5-b908-d5df020d0097","01fb12ac-cac4-4ef5-b908-d5df020d0097",1653892130694,1653892661753
"00669316-16cf-4c76-8256-24eaca6353ea","APPL.REVSITEPLAN.REVSITEPLAN","742e706b-81b4-45a4-9f4c-64f8f26e167b",NULL,"6ea5b551-6074-4135-99c9-69ad99f03e4c","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1653892245029}","01fb12ac-cac4-4ef5-b908-d5df020d0097","01fb12ac-cac4-4ef5-b908-d5df020d0097",1653892130694,1653892661753
"9c0d0283-3f4f-44ff-b235-70bc5a7ab289","APPL.OTHERDOCUMENT","7b09e0de-3694-4e7f-8cf0-d487c2551f49",NULL,"6ea5b551-6074-4135-99c9-69ad99f03e4c","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1653892279284}","01fb12ac-cac4-4ef5-b908-d5df020d0097","01fb12ac-cac4-4ef5-b908-d5df020d0097",1653892130694,1653892661753
"0dc84bfe-b6a0-4a15-9281-cf5462ae1ad1","BPD.LP.LP","334bbd2f-8b5c-470e-b298-3e95050e63fd",NULL,"6ea5b551-6074-4135-99c9-69ad99f03e4c","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1653892341533}","01fb12ac-cac4-4ef5-b908-d5df020d0097","01fb12ac-cac4-4ef5-b908-d5df020d0097",1653892130694,1653892661753
"d8e23cab-4d13-4b82-8ad4-c31c7354a369","APPL.OWNERIDPROOF.DRIVINGLICENSE","7f0e6a08-df32-4e14-b9fe-04f7ec680853",NULL,"6ea5b551-6074-4135-99c9-69ad99f03e4c","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1653892143532}","01fb12ac-cac4-4ef5-b908-d5df020d0097","01fb12ac-cac4-4ef5-b908-d5df020d0097",1653892130694,1653892661753
"6a183a87-fffc-4e5e-9135-bcc8ecbccc65","BPD.MATSPEC.MATSPEC","f8bdf774-912a-454f-8785-94058f35f241",NULL,"6ea5b551-6074-4135-99c9-69ad99f03e4c","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1653892503457}","01fb12ac-cac4-4ef5-b908-d5df020d0097","01fb12ac-cac4-4ef5-b908-d5df020d0097",1653892130694,1653892661753
"4d5d686e-b2a7-4388-9c5e-34ad3e49fcb5","BPD.SSUPCERT.SSUPCERT","41d28c74-6f2c-44d0-80bb-b89de6a53f76",NULL,"6ea5b551-6074-4135-99c9-69ad99f03e4c","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1653892534519}","01fb12ac-cac4-4ef5-b908-d5df020d0097","01fb12ac-cac4-4ef5-b908-d5df020d0097",1653892130694,1653892661753
"b0735922-d387-4829-91fe-952a06c037ce","BPD.SSTABCERT.SSTABCERT","82fef895-bdc3-462f-a2ee-ce65b4f5c6c9",NULL,"6ea5b551-6074-4135-99c9-69ad99f03e4c","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1653892541578}","01fb12ac-cac4-4ef5-b908-d5df020d0097","01fb12ac-cac4-4ef5-b908-d5df020d0097",1653892130694,1653892661753
"5753b9b1-e087-4212-a6a8-ea9eb5e98963","BPD.SITEPHOTO.SITEPHOTO","81fb06c2-ba9f-4397-86db-473e930c117c",NULL,"d339cbd7-d54f-4431-898b-a98efe0e4456","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1655363512001}","45736e24-fb69-44a4-a830-81dd9fbbcc42","45736e24-fb69-44a4-a830-81dd9fbbcc42",1653812927214,1655363629407
"0c17fafd-4b14-40b6-baf0-b1796e97d039","BPD.SITEPHOTO.SITEPHOTO","22a34ed0-b066-4832-adca-d058b5ab8f3c",NULL,"d339cbd7-d54f-4431-898b-a98efe0e4456","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1655363512089}","45736e24-fb69-44a4-a830-81dd9fbbcc42","45736e24-fb69-44a4-a830-81dd9fbbcc42",1653812927214,1655363629407
"864f1183-bc22-4808-bb1b-4a38982b404e","BPD.SITEPHOTO.SITEPHOTO","83650503-4b89-491d-a865-b7956dcc1931",NULL,"d339cbd7-d54f-4431-898b-a98efe0e4456","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1655363512321}","45736e24-fb69-44a4-a830-81dd9fbbcc42","45736e24-fb69-44a4-a830-81dd9fbbcc42",1653812927214,1655363629407
"3c7f6bd5-1783-4d7f-b339-a7f2b5a2a3d7","BPD.SSUPCERT.SSUPCERT","bb32691d-db8a-48d2-97c9-cbe0e0e4744a",NULL,"d339cbd7-d54f-4431-898b-a98efe0e4456","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1655363555771}","45736e24-fb69-44a4-a830-81dd9fbbcc42","45736e24-fb69-44a4-a830-81dd9fbbcc42",1653812927214,1655363629407
"00fc57ff-6ec1-4013-8f8e-95f82b3c638e","APPL.IDENTITYPROOF.DRIVINGLICENSE","b6403345-69c9-4f55-81a9-1ce892698220",NULL,"6ea5b551-6074-4135-99c9-69ad99f03e4c","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1653892138260}","01fb12ac-cac4-4ef5-b908-d5df020d0097","01fb12ac-cac4-4ef5-b908-d5df020d0097",1653892130694,1653975581790
"ca26edf6-3001-48ea-a72d-87cdaeb23a38","APPL.ROR.ROR","1fa67e49-1fa0-4cc4-a0c9-6941f2a73844",NULL,"6ea5b551-6074-4135-99c9-69ad99f03e4c","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1653892154395}","01fb12ac-cac4-4ef5-b908-d5df020d0097","01fb12ac-cac4-4ef5-b908-d5df020d0097",1653892130694,1653975581790
"521da042-e3b0-4b80-ae52-72af2cd44b19","APPL.OTHERDOCUMENT","bf216d2b-f6d3-4917-abcf-c8ea5d51d5de",NULL,"6ea5b551-6074-4135-99c9-69ad99f03e4c","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1653892265964}","01fb12ac-cac4-4ef5-b908-d5df020d0097","01fb12ac-cac4-4ef5-b908-d5df020d0097",1653892130694,1653975581790
"b560554f-2e54-4075-8467-65aaa5752785","APPL.OTHERDOCUMENT","7b09e0de-3694-4e7f-8cf0-d487c2551f49",NULL,"6ea5b551-6074-4135-99c9-69ad99f03e4c","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1653892279284}","01fb12ac-cac4-4ef5-b908-d5df020d0097","01fb12ac-cac4-4ef5-b908-d5df020d0097",1653892130694,1653975581790
"0d52af68-7d2e-4ac3-9033-0a7256cc7937","BPD.BPL.BPL","b8b51cc4-68df-4201-9712-61c11f96d3f5",NULL,"6ea5b551-6074-4135-99c9-69ad99f03e4c","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1653892313523}","01fb12ac-cac4-4ef5-b908-d5df020d0097","01fb12ac-cac4-4ef5-b908-d5df020d0097",1653892130694,1653975581790
"7b2cb3b2-f83a-4d7d-9cf0-d9fdd90b21f1","BPD.SP.SP","e271f417-2146-4466-8c34-462f1551a64e",NULL,"6ea5b551-6074-4135-99c9-69ad99f03e4c","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1653892336430}","01fb12ac-cac4-4ef5-b908-d5df020d0097","01fb12ac-cac4-4ef5-b908-d5df020d0097",1653892130694,1653975581790
"c1a1633f-c08b-4d6a-99b7-c05425f14c52","BPD.SITEPHOTO.SITEPHOTO","47ad2e43-ebf7-41f0-ace8-86cd3bf0da6e",NULL,"6ea5b551-6074-4135-99c9-69ad99f03e4c","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1653892523363}","01fb12ac-cac4-4ef5-b908-d5df020d0097","01fb12ac-cac4-4ef5-b908-d5df020d0097",1653892130694,1653975581790
"331695b3-21bc-47f5-b1f3-d4921b4f87da","BPD.SITEPHOTO.SITEPHOTO","0bd84a93-882b-4bcb-a27e-f71f48eba561",NULL,"d339cbd7-d54f-4431-898b-a98efe0e4456","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1655363511906}","45736e24-fb69-44a4-a830-81dd9fbbcc42","45736e24-fb69-44a4-a830-81dd9fbbcc42",1653812927214,1655363630886
"21be8f1d-8055-4736-ab49-fa9e77526fd1","BPD.SITEPHOTO.SITEPHOTO","81fb06c2-ba9f-4397-86db-473e930c117c",NULL,"d339cbd7-d54f-4431-898b-a98efe0e4456","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1655363512001}","45736e24-fb69-44a4-a830-81dd9fbbcc42","45736e24-fb69-44a4-a830-81dd9fbbcc42",1653812927214,1655363630886
"c179d3c1-0116-4543-8ed3-0bbe0bc50fb4","BPD.SITEPHOTO.SITEPHOTO","22a34ed0-b066-4832-adca-d058b5ab8f3c",NULL,"d339cbd7-d54f-4431-898b-a98efe0e4456","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1655363512089}","45736e24-fb69-44a4-a830-81dd9fbbcc42","45736e24-fb69-44a4-a830-81dd9fbbcc42",1653812927214,1655363630886
"d49f4ef9-8202-4ba7-acce-ee0777ec0e5a","BPD.SITEPHOTO.SITEPHOTO","83650503-4b89-491d-a865-b7956dcc1931",NULL,"d339cbd7-d54f-4431-898b-a98efe0e4456","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1655363512321}","45736e24-fb69-44a4-a830-81dd9fbbcc42","45736e24-fb69-44a4-a830-81dd9fbbcc42",1653812927214,1655363630886
