"applicationno","id","documenttype","filestoreid","documentuid","buildingplanid","additionaldetails","createdby","lastmodifiedby","createdtime","lastmodifiedtime"
"BP-BAM-2022-05-15-003627","9520e5b6-fa37-4d69-9a29-8287614a51a5","APPL.IDENTITYPROOF.DRIVINGLICENSE","2ffe8e2c-d721-45ca-b56c-ebebaaac39f1",NULL,"9b268234-2fa0-4faf-ac0e-6f86825b2e12","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1652634875928}","f236e7f3-dcb1-41f2-9e3e-656e34abac36","f236e7f3-dcb1-41f2-9e3e-656e34abac36",1652634860026,1657907449406
"BP-BAM-2022-05-15-003627","d2c990da-c990-4c90-b1f6-bd46255ae2d7","APPL.LANDPOSSAFFI.LANDPOSSAFFI","af26e207-6cee-4f2b-9319-6c6c8e723dd3",NULL,"9b268234-2fa0-4faf-ac0e-6f86825b2e12","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1652634938892}","f236e7f3-dcb1-41f2-9e3e-656e34abac36","f236e7f3-dcb1-41f2-9e3e-656e34abac36",1652634860026,1657907449406
"BP-BAM-2022-05-15-003627","ffa40a5f-c058-401d-83ec-1fb04a4c02e1","APPL.OWNERIDPROOF.PASSPORT","dcded0c8-fed2-4fff-a93a-549a69e298eb",NULL,"9b268234-2fa0-4faf-ac0e-6f86825b2e12","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1652634881354}","f236e7f3-dcb1-41f2-9e3e-656e34abac36","f236e7f3-dcb1-41f2-9e3e-656e34abac36",1652634860026,1657907449406
"BP-BAM-2022-05-15-003627","0d0ea830-8d68-4c15-baa4-f8844f428862","APPL.ROR.ROR","c1f261fb-318a-433c-8dea-0b3311d25156",NULL,"9b268234-2fa0-4faf-ac0e-6f86825b2e12","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1652634886578}","f236e7f3-dcb1-41f2-9e3e-656e34abac36","f236e7f3-dcb1-41f2-9e3e-656e34abac36",1652634860026,1657907449406
"BP-BAM-2022-05-15-003627","6e498583-1df4-4de1-898d-1e730ac8007c","APPL.SALEGIFTDEED.SALEGIFTDEED","8e68341f-f5c9-4965-a383-161534eb2ebb",NULL,"9b268234-2fa0-4faf-ac0e-6f86825b2e12","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1652634973893}","f236e7f3-dcb1-41f2-9e3e-656e34abac36","f236e7f3-dcb1-41f2-9e3e-656e34abac36",1652634860026,1657907449406
"BP-BAM-2022-05-15-003627","131bd74a-0cf1-4ca8-8151-8eaf13ce2908","BPD.BPL.BPL","5a9dcdcb-7626-4040-a4f3-cff31882c61a",NULL,"9b268234-2fa0-4faf-ac0e-6f86825b2e12","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1657907418449}","f236e7f3-dcb1-41f2-9e3e-656e34abac36","f236e7f3-dcb1-41f2-9e3e-656e34abac36",1652634860026,1657907454542
"BP-BAM-2022-05-15-003627","b05b8437-140b-42ac-b110-bcc58cc6f18e","BPD.BPL.BPL","5a9dcdcb-7626-4040-a4f3-cff31882c61a",NULL,"9b268234-2fa0-4faf-ac0e-6f86825b2e12","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1657907418449}","f236e7f3-dcb1-41f2-9e3e-656e34abac36","f236e7f3-dcb1-41f2-9e3e-656e34abac36",1652634860026,1657907449406
"BP-BAM-2022-05-15-003627","fdc199f6-da41-4f46-9d50-4546a94b1f0d","BPD.BPL.BPL","5a9dcdcb-7626-4040-a4f3-cff31882c61a",NULL,"9b268234-2fa0-4faf-ac0e-6f86825b2e12","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1657907418449}","f236e7f3-dcb1-41f2-9e3e-656e34abac36","f236e7f3-dcb1-41f2-9e3e-656e34abac36",1652634860026,1657907446323
"BP-BAM-2022-05-15-003627","dfe74741-d7d0-4c9c-9a43-44cb50dbdd0d","BPD.SITEPHOTO.SITEPHOTO","e5f4a2ec-385b-42a4-bd75-32b6e2e8f5aa",NULL,"9b268234-2fa0-4faf-ac0e-6f86825b2e12","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1652634952110}","f236e7f3-dcb1-41f2-9e3e-656e34abac36","f236e7f3-dcb1-41f2-9e3e-656e34abac36",1652634860026,1657907449406
"BP-BAM-2022-05-15-003627","7871f0c2-8899-45fe-ab30-ca02d5da0a25","BPD.SITEPHOTO.SITEPHOTO","970dd2ee-4935-41e8-9c72-0e2bfd5cf2f6",NULL,"9b268234-2fa0-4faf-ac0e-6f86825b2e12","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1652634952495}","f236e7f3-dcb1-41f2-9e3e-656e34abac36","f236e7f3-dcb1-41f2-9e3e-656e34abac36",1652634860026,1657907449406
