"applicationno","documenttype","documentuid"
"BP-BDA-2022-04-08-002363","APPL.REVSITEPLAN.REVSITEPLAN",NULL
"BP-BDA-2022-04-08-002363","APPL.LANDPOSSAFFI.LANDPOSSAFFI",NULL
"BP-BDA-2022-04-08-002363","BPD.BPL.BPL",NULL
"BP-BDA-2022-04-08-002363","BPD.SP.SP",NULL
"BP-BDA-2022-04-08-002363","BPD.MATSPEC.MATSPEC",NULL
"BP-BMC-2022-03-16-001769","BPD.BPL.BPL",NULL
"BP-BDA-2022-04-08-002363","BPD.SSUPCERT.SSUPCERT",NULL
"BP-CTC-2022-07-07-005891","BPD.SSUPCERT.SSUPCERT",NULL
"BP-CTC-2022-07-07-005891","APPL.OTHERDOCUMENT",NULL
"BP-CTC-2022-07-07-005891","BPD.BPL.BPL",NULL
"BP-CTC-2022-07-07-005891","APPL.REVSITEPLAN.REVSITEPLAN",NULL
"BP-BAM-2022-07-01-005627","BPD.BPL.BPL",NULL
"BP-BMC-2022-03-16-001769","BPD.BPL.BPL",NULL
"BP-BMC-2022-03-16-001769","BPD.BPL.BPL",NULL
"BP-BMC-2022-03-16-001769","BPD.BPL.BPL",NULL
"BP-BMC-2022-03-16-001769","APPL.REVSITEPLAN.REVSITEPLAN",NULL
"BP-BMC-2022-03-16-001769","BPD.BPL.BPL",NULL
"BP-BMC-2022-03-16-001769","APPL.IDENTITYPROOF.DRIVINGLICENSE",NULL
"BP-BMC-2022-03-16-001769","APPL.ROR.ROR",NULL
"BP-BMC-2022-03-16-001769","APPL.SALEGIFTDEED.SALEGIFTDEED",NULL
"BP-BMC-2022-03-16-001769","BPD.BPL.BPL",NULL
"BP-BDA-2022-04-08-002363","APPL.OTHERDOCUMENT",NULL
"BP-BDA-2022-04-08-002363","APPL.OTHERDOCUMENT",NULL
"BP-BAM-2022-07-01-005627","APPL.REVSITEPLAN.REVSITEPLAN",NULL
"BP-BAM-2022-07-01-005627","APPL.LANDPOSSAFFI.LANDPOSSAFFI",NULL
"BP-BAM-2022-07-01-005627","APPL.LANDPOSSAFFI.LANDPOSSAFFI",NULL
"BP-BAM-2022-07-01-005627","APPL.IDENTITYPROOF.DRIVINGLICENSE",NULL
"BP-BAM-2022-07-01-005627","APPL.ROR.ROR",NULL
"BP-BAM-2022-07-01-005627","APPL.SALEGIFTDEED.SALEGIFTDEED",NULL
"BP-BAM-2022-07-01-005627","APPL.REVSITEPLAN.REVSITEPLAN",NULL
"BP-BAM-2022-07-01-005627","APPL.REVSITEPLAN.REVSITEPLAN",NULL
"BP-BAM-2022-07-01-005627","APPL.LANDPOSSAFFI.LANDPOSSAFFI",NULL
"BP-CTC-2022-07-22-006465","APPL.OWNERIDPROOF.PASSPORT",NULL
"BP-CTC-2022-07-22-006465","APPL.IDENTITYPROOF.DRIVINGLICENSE",NULL
"BP-CTC-2022-07-22-006465","APPL.ROR.ROR",NULL
"BP-CTC-2022-07-07-005891","APPL.IDENTITYPROOF.DRIVINGLICENSE",NULL
"BP-CTC-2022-07-22-006465","APPL.SALEGIFTDEED.SALEGIFTDEED",NULL
"BP-CTC-2022-07-22-006465","APPL.SALEGIFTDEED.SALEGIFTDEED",NULL
"BP-CTC-2022-07-22-006465","BPD.BPL.BPL",NULL
"BP-CTC-2022-07-22-006465","BPD.LP.LP",NULL
"BP-CTC-2022-07-22-006465","APPL.LANDPOSSAFFI.LANDPOSSAFFI",NULL
"BP-CTC-2022-07-22-006465","BPD.SP.SP",NULL
"BP-CTC-2022-07-22-006465","BPD.BPL.BPL",NULL
"BP-CTC-2022-07-22-006465","BPD.LP.LP",NULL
"BP-CTC-2022-07-22-006465","APPL.LANDPOSSAFFI.LANDPOSSAFFI",NULL
"BP-CTC-2022-07-22-006465","BPD.SP.SP",NULL
"BP-CTC-2022-07-07-005891","APPL.OWNERIDPROOF.DRIVINGLICENSE",NULL
"BP-BAM-2022-05-15-003627","BPD.SITEPHOTO.SITEPHOTO",NULL
"BP-BDA-2022-04-08-002363","BPD.SITEPHOTO.SITEPHOTO",NULL
"BP-BDA-2022-04-08-002363","BPD.SSTABCERT.SSTABCERT",NULL
"BP-BDA-2022-04-08-002363","BPD.3RDPARTYSTRUCCERT.3RDPARTYSTRUCCERT",NULL
"BP-BDA-2022-04-08-002363","ADDL.REGULARISATIONANNEXUREI.REGULARISATIONANNEXUREI",NULL
