"tenantid","applicationno","actioninprocessinstance","currentstatus","expectedstatus"
"od.berhampur","BP-BAM-2022-05-07-003309","PAY","PENDING_SANC_FEE_PAYMENT","APPROVED"
"od.berhampur","BP-BAM-2022-06-01-003943","FORWARD_TO_APPROVER","PENDING_ARCHITECT_ACTION_FOR_REWORK","APPROVAL_INPROGRESS"
"od.berhampur","BP-BAM-2022-06-13-004654","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.berhampur","BP-BAM-2022-06-16-004759","PAY","PENDING_SANC_FEE_PAYMENT","APPROVED"
"od.berhampur","BP-BAM-2022-06-28-005478","PAY","PENDING_SANC_FEE_PAYMENT","APPROVED"
"od.berhampur","BP-BAM-2022-06-29-005568","FORWARD_TO_APPROVER","PENDING_ARCHITECT_ACTION_FOR_REWORK","APPROVAL_INPROGRESS"
"od.berhampur","BP-BAM-2022-07-02-005637","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.berhampur","BP-BAM-2022-07-03-005679","FORWARD_TO_APPROVER","PENDING_ARCHITECT_ACTION_FOR_REWORK","APPROVAL_INPROGRESS"
"od.berhampur","BP-BAM-2022-07-04-005689","SENDBACK_TO_ARCHITECT_FOR_REWORK","APPROVAL_INPROGRESS","PENDING_ARCHITECT_ACTION_FOR_REWORK"
"od.berhampur","BP-BAM-2022-07-04-005690","FORWARD","FIELDINSPECTION_INPROGRESS","APPROVAL_INPROGRESS"
"od.berhampur","BP-BAM-2022-07-06-005819","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.berhampur","BP-BAM-2022-07-09-005955","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.berhampur","BP-BAM-2022-07-09-005957","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.berhampur","BP-BAM-2022-07-09-005958","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.berhampur","BP-BAM-2022-07-10-005970","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.berhampur","BP-BAM-2022-07-10-005971","SENDBACK_TO_ARCHITECT_FOR_REWORK","APPROVAL_INPROGRESS","PENDING_ARCHITECT_ACTION_FOR_REWORK"
"od.berhampur","BP-BAM-2022-07-13-006049","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.berhampur","BP-BAM-2022-07-15-006136","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.berhampur","BP-BAM-2022-07-16-006196","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.berhampur","BP-BAM-2022-07-18-006252","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.berhampur","BP-BAM-2022-07-20-006327","SEND_BACK_TO_CITIZEN","DOC_VERIFICATION_INPROGRESS","CITIZEN_ACTION_PENDING_AT_DOC_VERIF"
"od.berhampur","BP-BAM-2022-07-27-006627","PAY","PENDING_APPL_FEE","DOC_VERIFICATION_INPROGRESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-02-11-000809","FORWARD","CITIZEN_ACTION_PENDING_AT_APPROVAL","APPROVAL_INPROGRESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-02-18-000955","FORWARD","DOC_VERIFICATION_INPROGRESS","FIELDINSPECTION_INPROGRESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-03-02-001311","FORWARD_TO_APPROVER","PENDING_ARCHITECT_ACTION_FOR_REWORK","APPROVAL_INPROGRESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-03-08-001494","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-03-12-001625","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-04-21-002706","PAY","PENDING_SANC_FEE_PAYMENT","APPROVED"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-04-30-003080","FORWARD","CITIZEN_ACTION_PENDING_AT_APPROVAL","APPROVAL_INPROGRESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-05-03-003142","FORWARD","CITIZEN_ACTION_PENDING_AT_APPROVAL","APPROVAL_INPROGRESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-05-04-003162","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-05-04-003169","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-05-11-003492","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-05-13-003572","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-05-13-003581","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-05-13-003583","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-05-13-003584","FORWARD","FIELDINSPECTION_INPROGRESS","APPROVAL_INPROGRESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-05-30-003857","FORWARD_TO_APPROVER","PENDING_ARCHITECT_ACTION_FOR_REWORK","APPROVAL_INPROGRESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-06-27-005465","FORWARD","CITIZEN_ACTION_PENDING_AT_APP_L1_VERIF","APP_L1_VERIFICATION_INPROGRESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-06-27-005467","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-07-01-005624","FORWARD","APP_L1_VERIFICATION_INPROGRESS","APPROVAL_INPROGRESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-07-01-005625","FORWARD","APP_L1_VERIFICATION_INPROGRESS","APPROVAL_INPROGRESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-07-02-005664","FORWARD","FIELDINSPECTION_INPROGRESS","APPROVAL_INPROGRESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-07-05-005766","FORWARD","CITIZEN_ACTION_PENDING_AT_APPROVAL","APPROVAL_INPROGRESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-07-05-005767","APPLY","INPROGRESS","PENDING_APPL_FEE"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-07-08-005923","FORWARD","FIELDINSPECTION_INPROGRESS","APPROVAL_INPROGRESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-07-11-006007","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-07-19-006293","FORWARD","FIELDINSPECTION_INPROGRESS","APPROVAL_INPROGRESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-07-19-006323","FORWARD","FIELDINSPECTION_INPROGRESS","APPROVAL_INPROGRESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-07-20-006361","FORWARD","DOC_VERIFICATION_INPROGRESS","FIELDINSPECTION_INPROGRESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-07-25-006534","FORWARD","FIELDINSPECTION_INPROGRESS","APPROVAL_INPROGRESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-07-25-006538","APPROVE","CITIZEN_APPROVAL_INPROCESS","INPROGRESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-07-26-006597","FORWARD","CITIZEN_ACTION_PENDING_AT_DOC_VERIF","DOC_VERIFICATION_INPROGRESS"
"od.berhampurdevelopmentauthority","BP-BED-2022-04-05-002269","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.berhampurdevelopmentauthority","BP-BED-2022-06-16-004751","REJECT","APPROVAL_INPROGRESS","REJECTED"
"od.berhampurdevelopmentauthority","BP-BED-2022-06-22-004982","FORWARD","CITIZEN_ACTION_PENDING_AT_APPROVAL","APPROVAL_INPROGRESS"
"od.berhampurdevelopmentauthority","BP-BED-2022-07-05-005801","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.berhampurdevelopmentauthority","BP-BED-2022-07-27-006606","FORWARD","FIELDINSPECTION_INPROGRESS","APPROVAL_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-01-28-000572","FORWARD_TO_APPROVER","PENDING_ARCHITECT_ACTION_FOR_REWORK","APPROVAL_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-02-04-000689","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.bhubaneswar","BP-BMC-2022-02-08-000727","FORWARD_TO_APPROVER","PENDING_ARCHITECT_ACTION_FOR_REWORK","APPROVAL_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-02-12-000828","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.bhubaneswar","BP-BMC-2022-02-17-000950","FORWARD","CITIZEN_ACTION_PENDING_AT_APPROVAL","APPROVAL_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-02-25-001177","PAY","PENDING_SANC_FEE_PAYMENT","APPROVED"
"od.bhubaneswar","BP-BMC-2022-02-28-001236","FORWARD_TO_APPROVER","PENDING_ARCHITECT_ACTION_FOR_REWORK","APPROVAL_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-03-02-001291","SENDBACK_TO_ARCHITECT_FOR_REWORK","APPROVAL_INPROGRESS","PENDING_ARCHITECT_ACTION_FOR_REWORK"
"od.bhubaneswar","BP-BMC-2022-03-04-001355","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.bhubaneswar","BP-BMC-2022-03-07-001457","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.bhubaneswar","BP-BMC-2022-03-08-001499","SEND_BACK_TO_CITIZEN","APP_L2_VERIFICATION_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APP_L2_VERIF"
"od.bhubaneswar","BP-BMC-2022-03-08-001501","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.bhubaneswar","BP-BMC-2022-03-21-001865","PAY","PENDING_SANC_FEE_PAYMENT","APPROVED"
"od.bhubaneswar","BP-BMC-2022-03-23-001899","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.bhubaneswar","BP-BMC-2022-03-25-001941","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.bhubaneswar","BP-BMC-2022-04-06-002286","FORWARD","FIELDINSPECTION_INPROGRESS","APPROVAL_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-04-07-002337","SEND_BACK_TO_CITIZEN","APP_L1_VERIFICATION_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APP_L1_VERIF"
"od.bhubaneswar","BP-BMC-2022-04-08-002356","FORWARD","CITIZEN_ACTION_PENDING_AT_DOC_VERIF","DOC_VERIFICATION_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-04-08-002364","FORWARD","FIELDINSPECTION_INPROGRESS","APP_L1_VERIFICATION_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-04-11-002417","FORWARD","FIELDINSPECTION_INPROGRESS","APPROVAL_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-04-11-002426","FORWARD","APP_L1_VERIFICATION_INPROGRESS","APPROVAL_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-04-12-002493","SEND_BACK_TO_CITIZEN","FIELDINSPECTION_INPROGRESS","CITIZEN_ACTION_PENDING_AT_DOC_VERIF"
"od.bhubaneswar","BP-BMC-2022-04-23-002785","FORWARD","FIELDINSPECTION_INPROGRESS","APPROVAL_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-04-23-002794","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswar","BP-BMC-2022-04-25-002849","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.bhubaneswar","BP-BMC-2022-05-10-003458","FORWARD","CITIZEN_ACTION_PENDING_AT_DOC_VERIF","DOC_VERIFICATION_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-05-14-003595","FORWARD","FIELDINSPECTION_INPROGRESS","APPROVAL_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-05-31-003908","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.bhubaneswar","BP-BMC-2022-05-31-003911","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.bhubaneswar","BP-BMC-2022-06-07-004432","FORWARD_TO_APPROVER","PENDING_ARCHITECT_ACTION_FOR_REWORK","APPROVAL_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-06-11-004629","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.bhubaneswar","BP-BMC-2022-06-17-004791","FORWARD","FIELDINSPECTION_INPROGRESS","APPROVAL_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-06-20-004928","SEND_BACK_TO_CITIZEN","FIELDINSPECTION_INPROGRESS","CITIZEN_ACTION_PENDING_AT_DOC_VERIF"
"od.bhubaneswar","BP-BMC-2022-06-27-005469","FORWARD","FIELDINSPECTION_INPROGRESS","APPROVAL_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-06-28-005476","FORWARD","FIELDINSPECTION_INPROGRESS","APPROVAL_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-07-03-005676","FORWARD","CITIZEN_ACTION_PENDING_AT_APPROVAL","APPROVAL_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-07-07-005901","SEND_BACK_TO_CITIZEN","FIELDINSPECTION_INPROGRESS","CITIZEN_ACTION_PENDING_AT_DOC_VERIF"
"od.bhubaneswar","BP-BMC-2022-07-08-005937","SEND_BACK_TO_CITIZEN","PENDING_ARCHITECT_ACTION_FOR_REWORK","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.bhubaneswar","BP-BMC-2022-07-10-005967","FORWARD_TO_APPROVER","PENDING_ARCHITECT_ACTION_FOR_REWORK","APPROVAL_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-07-10-005978","FORWARD","CITIZEN_ACTION_PENDING_AT_DOC_VERIF","DOC_VERIFICATION_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-07-11-005988","FORWARD","FIELDINSPECTION_INPROGRESS","APPROVAL_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-07-14-006105","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswar","BP-BMC-2022-07-20-006337","SEND_BACK_TO_CITIZEN","FIELDINSPECTION_INPROGRESS","CITIZEN_ACTION_PENDING_AT_DOC_VERIF"
"od.bhubaneswar","BP-BMC-2022-07-20-006362","FORWARD","FIELDINSPECTION_INPROGRESS","APPROVAL_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-07-22-006454","FORWARD","FIELDINSPECTION_INPROGRESS","APPROVAL_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-07-22-006458","FORWARD","FIELDINSPECTION_INPROGRESS","APPROVAL_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-07-22-006463","SEND_BACK_TO_CITIZEN","FIELDINSPECTION_INPROGRESS","CITIZEN_ACTION_PENDING_AT_DOC_VERIF"
"od.bhubaneswar","BP-BMC-2022-07-23-006469","FORWARD","FIELDINSPECTION_INPROGRESS","APPROVAL_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-07-24-006495","FORWARD","FIELDINSPECTION_INPROGRESS","APP_L1_VERIFICATION_INPROGRESS"
