"applicationdate","creationdate","status","id","applicationno","tenantid","edcrnumber","status-2","landid","additionaldetails","createdby","lastmodifiedby","createdtime","lastmodifiedtime","approvalno","approvaldate","applicationdate-2","businessservice","accountid","reworkhistory","isrevisionapplication"
"01-01-1970","12-02-2021","PENDING_APPL_FEE","ca6d80e4-f4f6-4cae-b6f7-ac03e927a434","OD-BP-2021-02-12-000003","od.cuttack","DCR220216WXCD","PENDING_APPL_FEE","f1dd1227-e40d-4885-8c8b-972ba3d877c7","null","6dee4a09-b245-4c88-a533-167186db8527","6dee4a09-b245-4c88-a533-167186db8527",1613118192055,1613118306048,NULL,0,0,"BPA1","6dee4a09-b245-4c88-a533-167186db8527",NULL,NULL
"16-07-2021","14-07-2021","CITIZEN_ACTION_PENDING_AT_DOC_VERIF","1850e2d2-00ac-465c-912f-6eb42237acea","OD-BP-2021-07-14-000073","od.sambalpur","DCR72021RYXSI","CITIZEN_ACTION_PENDING_AT_DOC_VERIF","1004d22f-9d49-4c92-aef9-7097646eded5","null","a281cf0f-59d7-4b48-8cb6-c738d6fc86a3","a281cf0f-59d7-4b48-8cb6-c738d6fc86a3",1626274226841,1630498979718,NULL,0,1626417728445,"BPA1","a281cf0f-59d7-4b48-8cb6-c738d6fc86a3",NULL,NULL
"13-09-2021","13-09-2021","APPROVED","ae5ce73c-bd83-44e6-827e-578e8703cd10","BP-RRK-2021-09-13-000076","od.rourkela","DCR92021BNIBS","APPROVED","bb2ef3c9-6f74-4ea0-a9c9-5f1db48ac250","{""serviceType"": ""NEW_CONSTRUCTION"", ""applicationType"": ""BUILDING_PLAN_SCRUTINY"", ""registrationDetails"": ""DEED NO-11712101391,DT-28.JULY.2021 ,SRO-ROURKELA"", ""fieldinspection_pending"": [{""date"": ""2021-09-14"", ""docs"": [{""fileName"": ""606f998e-900b-403b-a813-222100cd07b6.jpg"", ""fileStore"": ""d7f3d6e1-2a55-4c64-8494-63ae12244c66"", ""fileStoreId"": ""d7f3d6e1-2a55-4c64-8494-63ae12244c66"", ""isClickable"": true, ""documentType"": ""FI.FIR.FIR"", ""dropDownValues"": {""value"": ""FI.FIR.FIR""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1631772891721}}, {""fileName"": ""ea210343-1da2-4b30-bd23-4f5058c2980c.jpg"", ""fileStore"": ""e87af7c3-604e-4190-af0a-825e00837da0"", ""fileStoreId"": ""e87af7c3-604e-4190-af0a-825e00837da0"", ""isClickable"": true, ""documentType"": ""FI.FIR.FIR"", ""dropDownValues"": {""value"": ""FI.SINS.SINS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1631772915309}}, {""fileName"": ""back2.jpg"", ""fileStore"": ""f1af5980-cbb2-422c-95fb-ca4305a9f64f"", ""fileStoreId"": ""f1af5980-cbb2-422c-95fb-ca4305a9f64f"", ""isClickable"": true, ""documentType"": ""FI.SINS.SINS"", ""dropDownValues"": {""value"": ""FI.SISS.SISS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1631772987500}}, {""fileName"": ""front.jpg"", ""fileStore"": ""662ecdad-f8d4-4aac-a898-cab8b6a00cd3"", ""fileStoreId"": ""662ecdad-f8d4-4aac-a898-cab8b6a00cd3"", ""isClickable"": true, ""documentType"": ""FI.SISS.SISS"", ""dropDownValues"": {""value"": ""FI.SIES.SIES""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1631773014535}}, {""fileName"": ""right.jpg"", ""fileStore"": ""bdb96bdd-8b34-4047-90cc-928b14631c69"", ""fileStoreId"": ""bdb96bdd-8b34-4047-90cc-928b14631c69"", ""isClickable"": true, ""documentType"": ""FI.SIES.SIES"", ""dropDownValues"": {""value"": ""FI.SIWS.SIWS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1631773050330}}, {""fileName"": ""left.jpg"", ""fileStore"": ""68ee7b28-7770-4a79-baf8-545fd05aeade"", ""fileStoreId"": ""68ee7b28-7770-4a79-baf8-545fd05aeade"", ""isClickable"": true, ""documentType"": ""FI.SIWS.SIWS"", ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1631773060652}}], ""time"": ""13:33"", ""questions"": [{""value"": ""YES"", ""question"": ""PLAN_AS_PER_THE_SITE""}]}]}","c03bf043-7a29-4b74-b4de-6d3a2047ada6","c03bf043-7a29-4b74-b4de-6d3a2047ada6",1631511856495,1631773983122,"BP/RRK/000007",0,1631531122215,"BPA1","c03bf043-7a29-4b74-b4de-6d3a2047ada6",NULL,NULL
"01-01-1970","01-10-2021","CITIZEN_APPROVAL_INPROCESS","203c5bc7-d767-49b1-ab16-61e353869994","BP-RRK-2021-10-01-000080","od.rourkela","DCR102021UV1IX","CITIZEN_APPROVAL_INPROCESS","55605f70-6dc6-4b98-bf99-42f7f802129d","null","0d2957d0-4736-4b49-8640-1605e5d0a041","0d2957d0-4736-4b49-8640-1605e5d0a041",1633068288973,1635746779308,NULL,0,0,"BPA1","0d2957d0-4736-4b49-8640-1605e5d0a041",NULL,NULL
"15-11-2021","15-11-2021","FIELDINSPECTION_INPROGRESS","611cf885-e64c-488e-8e96-a8977c4cb77c","BP-BAM-2021-11-15-000152","od.berhampur","DCR112021Q6FRD","FIELDINSPECTION_INPROGRESS","4d601dca-2ee7-4a04-a202-d66f3bc1eab5","null","f1a434a0-8a91-4e6f-95f1-699260b1a554","f1a434a0-8a91-4e6f-95f1-699260b1a554",1636964818364,1637064760505,NULL,0,1636981070210,"BPA1","f1a434a0-8a91-4e6f-95f1-699260b1a554",NULL,NULL
"16-11-2021","16-11-2021","FIELDINSPECTION_INPROGRESS","dd6e1814-16bc-4d9f-adb0-65cd7aab3df1","BP-BAM-2021-11-16-000157","od.berhampur","DCR112021I7JLA","FIELDINSPECTION_INPROGRESS","cd93fd0d-c5fd-4e97-9bbf-461359c116a7","null","f1a434a0-8a91-4e6f-95f1-699260b1a554","f1a434a0-8a91-4e6f-95f1-699260b1a554",1637048295420,1637065199810,NULL,0,1637060381924,"BPA1","f1a434a0-8a91-4e6f-95f1-699260b1a554",NULL,NULL
"24-11-2021","16-11-2021","APPROVED","065352a5-6259-474d-b614-de8cd45d94f9","BP-RRK-2021-11-16-000159","od.rourkela","DCR112021WWABA","APPROVED","f7218721-a201-4339-b36d-c579af8ee519","{""fieldinspection_pending"": [{""date"": ""2021-11-27"", ""docs"": [{""fileName"": ""trilochan.jpg"", ""fileStore"": ""60bdcffb-5c1a-4fe9-a348-fb8ed6cace2a"", ""fileStoreId"": ""60bdcffb-5c1a-4fe9-a348-fb8ed6cace2a"", ""isClickable"": true, ""documentType"": ""FI.FIR.FIR"", ""dropDownValues"": {""value"": ""FI.FIR.FIR""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1638865874232}}, {""fileName"": ""trilochan1.jpg"", ""fileStore"": ""fd612a04-2df4-48a8-a8d8-a9cec144f3bd"", ""fileStoreId"": ""fd612a04-2df4-48a8-a8d8-a9cec144f3bd"", ""isClickable"": true, ""documentType"": ""FI.FIR.FIR"", ""dropDownValues"": {""value"": ""FI.SINS.SINS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1638865886306}}, {""fileName"": ""north.jpeg"", ""fileStore"": ""4381ce6d-ea04-4347-97f0-1fba25e4af10"", ""fileStoreId"": ""4381ce6d-ea04-4347-97f0-1fba25e4af10"", ""isClickable"": true, ""documentType"": ""FI.SINS.SINS"", ""dropDownValues"": {""value"": ""FI.SISS.SISS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1638865926490}}, {""fileName"": ""south.jpeg"", ""fileStore"": ""4023914d-8a60-430d-803e-03d991907cc1"", ""fileStoreId"": ""4023914d-8a60-430d-803e-03d991907cc1"", ""isClickable"": true, ""documentType"": ""FI.SISS.SISS"", ""dropDownValues"": {""value"": ""FI.SIES.SIES""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1638865934319}}, {""fileName"": ""East.jpeg"", ""fileStore"": ""d6722bb3-db9d-4f05-94ec-a81a24db9e15"", ""fileStoreId"": ""d6722bb3-db9d-4f05-94ec-a81a24db9e15"", ""isClickable"": true, ""documentType"": ""FI.SIES.SIES"", ""dropDownValues"": {""value"": ""FI.SIWS.SIWS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1638865942527}}, {""fileName"": ""west.jpeg"", ""fileStore"": ""5fbbb57c-3bd7-4896-a4a8-8e01697bce64"", ""fileStoreId"": ""5fbbb57c-3bd7-4896-a4a8-8e01697bce64"", ""isClickable"": true, ""documentType"": ""FI.SIWS.SIWS"", ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1638865951996}}], ""time"": ""11:28"", ""questions"": [{""value"": ""YES"", ""question"": ""PLAN_AS_PER_THE_SITE""}]}]}","5219da3d-c74f-4c1e-b68f-d1dbe4df5fda","5219da3d-c74f-4c1e-b68f-d1dbe4df5fda",1637062005484,1639565719939,NULL,0,1637752199634,"BPA1","5219da3d-c74f-4c1e-b68f-d1dbe4df5fda",NULL,NULL
"06-12-2021","24-11-2021","CITIZEN_ACTION_PENDING_AT_APP_L1_VERIF","717bbbfa-b514-4e61-9506-30efe403b606","BP-RRK-2021-11-24-000168","od.rourkela","DCR112021JPSA0","CITIZEN_ACTION_PENDING_AT_APP_L1_VERIF","d9a5d8fb-22bb-4461-9fc1-454412207641","{""fieldinspection_pending"": [{""date"": ""2021-12-09"", ""docs"": [{""fileName"": ""brahmani.jpg"", ""fileStore"": ""4e44e23d-7254-4782-b4c0-bc45b8f37371"", ""fileStoreId"": ""4e44e23d-7254-4782-b4c0-bc45b8f37371"", ""isClickable"": true, ""documentType"": ""FI.FIR.FIR"", ""dropDownValues"": {""value"": ""FI.FIR.FIR""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1640003755051}}, {""fileName"": ""brahmani1.jpg"", ""fileStore"": ""4b9f57a6-8185-43ae-bd0f-b8190860e5d1"", ""fileStoreId"": ""4b9f57a6-8185-43ae-bd0f-b8190860e5d1"", ""isClickable"": true, ""documentType"": ""FI.FIR.FIR"", ""dropDownValues"": {""value"": ""FI.SINS.SINS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1640003770514}}, {""fileName"": ""north.jpg"", ""fileStore"": ""3d857252-ec0b-44cf-8161-aae6be7388d7"", ""fileStoreId"": ""3d857252-ec0b-44cf-8161-aae6be7388d7"", ""isClickable"": true, ""documentType"": ""FI.SINS.SINS"", ""dropDownValues"": {""value"": ""FI.SISS.SISS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1640003784028}}, {""fileName"": ""south.jpg"", ""fileStore"": ""1f927106-0587-4189-a019-54f91e80b325"", ""fileStoreId"": ""1f927106-0587-4189-a019-54f91e80b325"", ""isClickable"": true, ""documentType"": ""FI.SISS.SISS"", ""dropDownValues"": {""value"": ""FI.SIES.SIES""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1640003801035}}, {""fileName"": ""east.jpg"", ""fileStore"": ""18cfc569-3160-4d97-ba51-b888e7352474"", ""fileStoreId"": ""18cfc569-3160-4d97-ba51-b888e7352474"", ""isClickable"": true, ""documentType"": ""FI.SIES.SIES"", ""dropDownValues"": {""value"": ""FI.SIWS.SIWS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1640003812475}}, {""fileName"": ""west.jpg"", ""fileStore"": ""dde47b8c-9900-476c-ab2a-3c53280d119d"", ""fileStoreId"": ""dde47b8c-9900-476c-ab2a-3c53280d119d"", ""isClickable"": true, ""documentType"": ""FI.SIWS.SIWS"", ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1640003823613}}], ""time"": ""11:00"", ""questions"": [{""value"": ""YES"", ""question"": ""PLAN_AS_PER_THE_SITE""}]}]}","3718b5c8-795e-40c5-ac1e-1fc9acdd277f","3718b5c8-795e-40c5-ac1e-1fc9acdd277f",1637727830648,1640004508969,NULL,0,1638792264133,"BPA2","3718b5c8-795e-40c5-ac1e-1fc9acdd277f",NULL,NULL
"18-12-2021","03-12-2021","REJECTED","b1241282-0022-44ed-9181-782a74eaa09f","BP-RRK-2021-12-03-000173","od.rourkela","DCR112021NRA6J","REJECTED","880083c8-eac6-44ca-aa05-62a3488ffe9c","{""fieldinspection_pending"": [{""date"": ""2021-12-20"", ""docs"": [{""fileName"": ""site inspection report 1.1.jpeg"", ""fileStore"": ""53ec61cc-e96a-48f2-a1c5-1b60323cb2d8"", ""fileStoreId"": ""53ec61cc-e96a-48f2-a1c5-1b60323cb2d8"", ""isClickable"": true, ""documentType"": ""FI.FIR.FIR"", ""dropDownValues"": {""value"": ""FI.FIR.FIR""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1640075234891}}, {""fileName"": ""site inspection report 1.2.jpeg"", ""fileStore"": ""2a8c0cbb-3ee0-4236-b1b0-df970902a36e"", ""fileStoreId"": ""2a8c0cbb-3ee0-4236-b1b0-df970902a36e"", ""isClickable"": true, ""documentType"": ""FI.FIR.FIR"", ""dropDownValues"": {""value"": ""FI.SINS.SINS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1640075239835}}, {""fileName"": ""NORTH (2).jpeg"", ""fileStore"": ""13075c9a-e6d9-476c-adfa-e8b88ab0e3c5"", ""fileStoreId"": ""13075c9a-e6d9-476c-adfa-e8b88ab0e3c5"", ""isClickable"": true, ""documentType"": ""FI.SINS.SINS"", ""dropDownValues"": {""value"": ""FI.SISS.SISS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1640075247526}}, {""fileName"": ""SOUTH (2).jpeg"", ""fileStore"": ""d2d56aa1-2690-4412-b0ec-947cd2d332b3"", ""fileStoreId"": ""d2d56aa1-2690-4412-b0ec-947cd2d332b3"", ""isClickable"": true, ""documentType"": ""FI.SISS.SISS"", ""dropDownValues"": {""value"": ""FI.SIES.SIES""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1640075260248}}, {""fileName"": ""EAST(2).jpeg"", ""fileStore"": ""1bddd3fd-b2e2-417f-9844-3af3d1a91044"", ""fileStoreId"": ""1bddd3fd-b2e2-417f-9844-3af3d1a91044"", ""isClickable"": true, ""documentType"": ""FI.SIES.SIES"", ""dropDownValues"": {""value"": ""FI.SIWS.SIWS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1640075321867}}, {""fileName"": ""WEST (2).jpeg"", ""fileStore"": ""d007f9e7-cda3-4ad8-a7f8-da7001ac0aaa"", ""fileStoreId"": ""d007f9e7-cda3-4ad8-a7f8-da7001ac0aaa"", ""isClickable"": true, ""documentType"": ""FI.SIWS.SIWS"", ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1640075335684}}], ""time"": ""12:56"", ""questions"": [{""value"": ""YES"", ""question"": ""PLAN_AS_PER_THE_SITE""}]}]}","0d2957d0-4736-4b49-8640-1605e5d0a041","0d2957d0-4736-4b49-8640-1605e5d0a041",1638509418897,1640093326224,NULL,0,1639811462237,"BPA1","0d2957d0-4736-4b49-8640-1605e5d0a041",NULL,NULL
"15-12-2021","09-12-2021","APPROVED","13c3d41e-930c-4f30-a829-48a8cbed0466","BP-RRK-2021-12-09-000189","od.rourkela","DCR122021B418T","APPROVED","ac167775-90d2-4b7a-8ffc-e7ffd22d9606","{""remarks"": ""BUILDING APPROVAL"", ""serviceType"": ""NEW_CONSTRUCTION"", ""applicationType"": ""BUILDING_PLAN_SCRUTINY"", ""fieldinspection_pending"": [{""date"": ""2021-12-16"", ""docs"": [{""fileName"": ""site inspection report 1.jpeg"", ""fileStore"": ""d6f56f0f-7be3-4824-97a2-c384831ede59"", ""fileStoreId"": ""d6f56f0f-7be3-4824-97a2-c384831ede59"", ""isClickable"": true, ""documentType"": ""FI.FIR.FIR"", ""dropDownValues"": {""value"": ""FI.FIR.FIR""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1640072201265}}, {""fileName"": ""site inspection report 2.jpeg"", ""fileStore"": ""2a187511-7c0e-4b1a-9ecb-fbebffad0579"", ""fileStoreId"": ""2a187511-7c0e-4b1a-9ecb-fbebffad0579"", ""isClickable"": true, ""documentType"": ""FI.FIR.FIR"", ""dropDownValues"": {""value"": ""FI.SINS.SINS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1640072206922}}, {""fileName"": ""NORTH.jpeg"", ""fileStore"": ""b5d35d91-2434-4ec2-940f-07d58333c804"", ""fileStoreId"": ""b5d35d91-2434-4ec2-940f-07d58333c804"", ""isClickable"": true, ""documentType"": ""FI.SINS.SINS"", ""dropDownValues"": {""value"": ""FI.SISS.SISS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1640072214267}}, {""fileName"": ""SOUTH.jpeg"", ""fileStore"": ""0049270f-bf93-40bf-9d76-874e861466f5"", ""fileStoreId"": ""0049270f-bf93-40bf-9d76-874e861466f5"", ""isClickable"": true, ""documentType"": ""FI.SISS.SISS"", ""dropDownValues"": {""value"": ""FI.SIES.SIES""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1640072221626}}, {""fileName"": ""EASTE.jpeg"", ""fileStore"": ""7c21e98b-df40-448b-b008-9c6693ded01f"", ""fileStoreId"": ""7c21e98b-df40-448b-b008-9c6693ded01f"", ""isClickable"": true, ""documentType"": ""FI.SIES.SIES"", ""dropDownValues"": {""value"": ""FI.SIWS.SIWS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1640072228555}}, {""fileName"": ""WESTE.jpeg"", ""fileStore"": ""9b914ea5-305e-4f6d-bbee-cd4595c6a8f6"", ""fileStoreId"": ""9b914ea5-305e-4f6d-bbee-cd4595c6a8f6"", ""isClickable"": true, ""documentType"": ""FI.SIWS.SIWS"", ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1640072235594}}], ""time"": ""10:41"", ""questions"": [{""value"": ""YES"", ""question"": ""PLAN_AS_PER_THE_SITE""}]}]}","cbf66c9d-c8c3-4ba3-b77d-791ceadae440","cbf66c9d-c8c3-4ba3-b77d-791ceadae440",1639062415111,1640073277669,NULL,0,1639560489563,"BPA1","cbf66c9d-c8c3-4ba3-b77d-791ceadae440",NULL,NULL
