"tenantid","applicationno","actioninprocessinstance","currentstatus","expectedstatus"
"od.berhampur","BP-BAM-2022-08-07-007249","FORWARD","CITIZEN_ACTION_PENDING_AT_DOC_VERIF","DOC_VERIFICATION_INPROGRESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-03-08-001474","PAY","APPROVAL_INPROGRESS","APPROVED"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-04-21-002725","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-07-05-005767","APPLY","INPROGRESS","PENDING_APPL_FEE"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-08-06-007232","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-08-08-007269","FORWARD","CITIZEN_ACTION_PENDING_AT_DOC_VERIF","DOC_VERIFICATION_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-04-05-002204","FORWARD","PENDING_ARCHITECT_ACTION_FOR_REWORK","APPROVAL_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-07-07-005901","FORWARD","CITIZEN_ACTION_PENDING_AT_DOC_VERIF","DOC_VERIFICATION_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-08-17-007537","FORWARD","CITIZEN_ACTION_PENDING_AT_DOC_VERIF","DOC_VERIFICATION_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-08-21-007654","FORWARD","CITIZEN_ACTION_PENDING_AT_DOC_VERIF","DOC_VERIFICATION_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-08-28-007889","FORWARD","CITIZEN_ACTION_PENDING_AT_DOC_VERIF","DOC_VERIFICATION_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-08-29-007918","PAY","PENDING_APPL_FEE","DOC_VERIFICATION_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-08-29-007927","PAY","PENDING_APPL_FEE","DOC_VERIFICATION_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-08-29-007930","PAY","PENDING_APPL_FEE","DOC_VERIFICATION_INPROGRESS"
"od.jatni","BP-JTN-2022-04-28-002999","FORWARD","CITIZEN_ACTION_PENDING_AT_DOC_VERIF","DOC_VERIFICATION_INPROGRESS"
"od.jatni","BP-JTN-2022-08-03-007071","FORWARD","CITIZEN_ACTION_PENDING_AT_DOC_VERIF","DOC_VERIFICATION_INPROGRESS"
"od.khordha","BP-KHU-2022-08-22-007682","PAY","PENDING_APPL_FEE","DOC_VERIFICATION_INPROGRESS"
"od.sambalpur","BP-SMB-2022-07-12-006045","FORWARD","CITIZEN_ACTION_PENDING_AT_DOC_VERIF","DOC_VERIFICATION_INPROGRESS"
"od.talcherangulmeramandalidevelopmentauthority","BP-TAM-2022-08-06-007240","FORWARD","CITIZEN_ACTION_PENDING_AT_DOC_VERIF","DOC_VERIFICATION_INPROGRESS"
