"tenantid","applicationno","actioninprocessinstance","currentstatus","expectedstatus"
"od.angul","BP-ANG-2022-09-27-008842","SEND_BACK_TO_CITIZEN","DOC_VERIFICATION_INPROGRESS","CITIZEN_ACTION_PENDING_AT_DOC_VERIF"
"od.berhampur","BP-BAM-2022-07-27-006627","PAY","PENDING_SANC_FEE_PAYMENT","APPROVED"
"od.berhampur","BP-BAM-2022-08-06-007239","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.berhampur","BP-BAM-2022-08-25-007804","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.berhampur","BP-BAM-2022-10-01-008985","SEND_TO_CITIZEN","INPROGRESS","CITIZEN_APPROVAL_INPROCESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-10-08-009125","SEND_TO_ARCHITECT","INPROGRESS","INITIATED"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-10-10-009173","SEND_TO_CITIZEN","INPROGRESS","CITIZEN_APPROVAL_INPROCESS"
"od.bhubaneswar","BP-BMC-2022-07-11-005988","FORWARD","CITIZEN_ACTION_PENDING_AT_APPROVAL","APPROVAL_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-08-04-007130","PAY","PENDING_SANC_FEE_PAYMENT","APPROVED"
"od.chatrapur","BP-CHH-2022-09-14-008441","FORWARD","CITIZEN_ACTION_PENDING_AT_DOC_VERIF","DOC_VERIFICATION_INPROGRESS"
"od.cuttack","BP-CTC-2022-09-14-008446","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.kalinganagardevelopmentauthority","BP-KDA-2022-09-07-008192","SENDBACK_TO_ARCHITECT_FOR_REWORK","APPROVAL_INPROGRESS","PENDING_ARCHITECT_ACTION_FOR_REWORK"
"od.sambalpur","BP-SMB-2022-07-25-006501","FORWARD","CITIZEN_ACTION_PENDING_AT_DOC_VERIF","DOC_VERIFICATION_INPROGRESS"
"od.sambalpur","BP-SMB-2022-08-22-007670","FORWARD","CITIZEN_ACTION_PENDING_AT_DOC_VERIF","DOC_VERIFICATION_INPROGRESS"
"od.sambalpur","BP-SMB-2022-09-30-008921","PAY","PENDING_APPL_FEE","DOC_VERIFICATION_INPROGRESS"
