"tenantid","applicationno","actioninprocessinstance","currentstatus","expectedstatus"
"od.berhampur","BP-BAM-2022-08-15-007470","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.berhampur","BP-BAM-2022-08-29-007910","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-06-20-004926","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-07-01-005624","FORWARD","CITIZEN_ACTION_PENDING_AT_APP_L1_VERIF","APP_L1_VERIFICATION_INPROGRESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-10-21-009596","APPROVE","PENDING_APPL_FEE","INPROGRESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-10-27-009707","PAY","PENDING_APPL_FEE","DOC_VERIFICATION_INPROGRESS"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-10-29-009820","INITIATE","CITIZEN_APPROVAL_INPROCESS","INITIATED"
"od.bhubaneswardevelopmentauthority","BP-BDA-2022-11-04-010056","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
"od.bhubaneswar","BP-BMC-2022-04-21-002732","PAY","PENDING_SANC_FEE_PAYMENT","APPROVED"
"od.bhubaneswar","BP-BMC-2022-07-20-006328","SEND_BACK_TO_CITIZEN","APPROVAL_INPROGRESS","CITIZEN_ACTION_PENDING_AT_APPROVAL"
"od.bhubaneswar","BP-BMC-2022-10-27-009696","PAY","PENDING_APPL_FEE","DOC_VERIFICATION_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-10-29-009827","PAY","PENDING_APPL_FEE","DOC_VERIFICATION_INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-11-07-010198","APPROVE","CITIZEN_APPROVAL_INPROCESS","INPROGRESS"
"od.bhubaneswar","BP-BMC-2022-11-15-010422","SEND_TO_CITIZEN","INPROGRESS","CITIZEN_APPROVAL_INPROCESS"
"od.puri","BP-PRI-2022-11-07-010184","APPROVE","CITIZEN_APPROVAL_INPROCESS","INPROGRESS"
"od.sambalpur","BP-SMB-2022-10-21-009604","APPROVE","PENDING_APPL_FEE","INPROGRESS"
"od.sundargarh","BP-SNG-2022-08-24-007750","APPROVE","APPROVED","PENDING_SANC_FEE_PAYMENT"
"od.sundargarh","BP-SNG-2022-08-31-007986","APPROVE","APPROVAL_INPROGRESS","PENDING_SANC_FEE_PAYMENT"
