"applicationno","ownershipcategory","additionaldetails"
"BP-BMC-2022-04-06-002286","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-CTC-2022-03-16-001765","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BAM-2022-07-16-006196","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-03-16-001753","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BAM-2022-04-05-002241","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-SMB-2022-11-03-010039","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-CTC-2022-11-22-010520","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-04-28-003009","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-08-29-007918","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-04-08-002356","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-VSN-2022-09-27-008839","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-11-21-010456","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BDA-2022-06-01-003962","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BDA-2022-08-23-007733","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BDA-2022-10-07-009117","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-05-03-003140","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BDA-2022-11-09-010220","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-RRK-2022-10-14-009338","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-SMB-2022-09-26-008829","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-09-17-008555","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BDA-2022-09-24-008765","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-09-19-008592","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-03-12-001632","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-06-18-004841","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-CTC-2022-10-17-009460","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-RRK-2022-10-11-009211","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-01-13-000345","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BDA-2022-07-03-005673","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-11-04-010067","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-05-14-003608","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-04-12-002490","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BED-2022-07-19-006312","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BAM-2022-07-22-006433","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-04-13-002509","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BAM-2022-06-09-004492","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-SNG-2022-07-20-006381","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-CTC-2022-04-21-002689","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BAM-2022-07-09-005957","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BDA-2022-03-26-001959","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-10-01-008965","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-04-21-002717","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BDA-2022-07-05-005766","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BDA-2022-03-02-001284","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-CTC-2022-06-23-005042","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BDA-2022-08-25-007833","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BDA-2022-11-15-010419","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-CTC-2022-07-06-005809","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-RRK-2021-12-20-000202","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-09-12-008337","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BAM-2022-08-29-007910","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-CTC-2022-06-24-005070","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-09-09-008266","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BED-2022-11-04-010079","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-11-04-010078","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BAM-2022-08-05-007213","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BDA-2022-11-15-010420","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-04-25-002855","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BDA-2022-09-21-008678","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BDA-2022-09-21-008680","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-09-02-008010","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-SMB-2022-10-30-009838","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-KHU-2022-06-20-004922","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-11-02-010007","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-SMB-2022-10-30-009840","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-06-10-004568","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-04-30-003049","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-RRK-2022-03-26-001965","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BAM-2022-07-09-005955","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BAM-2022-05-05-003248","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-VSN-2022-09-26-008799","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-CTC-2022-07-15-006175","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-CTC-2022-07-01-005631","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-RRK-2022-03-09-001529","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-CTC-2022-03-10-001563","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BDA-2022-09-30-008948","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-10-19-009552","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-CTC-2022-06-10-004541","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BDA-2022-10-07-009087","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BDA-2022-03-20-001837","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-SMB-2022-06-28-005528","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-03-08-001501","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-CDA-2022-10-19-009529","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-03-12-001639","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BAM-2022-03-14-001663","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-09-14-008444","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-09-06-008145","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-06-11-004612","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-05-06-003297","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BDA-2022-07-08-005923","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-RRK-2022-04-25-002838","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BAM-2022-10-12-009264","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BDA-2022-10-07-009083","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-09-22-008691","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BDA-2022-08-22-007667","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-RRK-2022-10-07-009091","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BED-2022-02-05-000691","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-11-03-010035","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-PKD-2022-10-31-009866","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BED-2022-02-10-000780","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-04-08-002342","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-08-22-007680","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-07-27-006618","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-03-12-001636","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-GJM-2022-11-23-010528","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-08-23-007725","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-03-31-002073","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-08-23-007717","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-CTC-2022-07-08-005927","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-06-17-004813","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-10-25-009654","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BAM-2022-08-03-007076","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-07-28-006649","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-PKD-2022-09-20-008621","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-CDA-2022-10-19-009535","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-CTC-2022-07-14-006126","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BDA-2022-11-11-010276","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-10-12-009238","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BAM-2022-06-16-004763","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-RRK-2022-04-30-003077","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BAM-2022-04-12-002453","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-CTC-2022-07-16-006206","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BDA-2022-07-19-006323","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-RRK-2022-02-02-000639","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-08-11-007394","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-RRK-2022-10-30-009844","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BAM-2022-06-09-004489","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-RDA-2022-10-26-009684","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-07-20-006362","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-CTC-2022-07-15-006137","INDIVIDUAL.MULTIPLEOWNERS","null"
"BP-BMC-2022-06-20-004899","INDIVIDUAL.MULTIPLEOWNERS","null"
