"businessservice","business","tenantid","uuid","geturi","posturi","createdby","createdtime","lastmodifiedby","lastmodifiedtime","businessservicesla"
"FIRE_NOC_OFFLINE","noc-services","od","54d42f7d-6c9f-40db-892d-b33c0836800e",NULL,NULL,"68c5e748-cb12-476b-8210-c28e6d5f155d","1611407456499","68c5e748-cb12-476b-8210-c28e6d5f155d","1611407456499","5184000000"
"AIRPORT_NOC_OFFLINE","noc-services","od","09d739e4-84c6-437f-acd3-0c0e519842cc",NULL,NULL,"68c5e748-cb12-476b-8210-c28e6d5f155d","1611407482383","68c5e748-cb12-476b-8210-c28e6d5f155d","1611407482383","5184000000"
"FIRE_NOC_SRV","noc-services","od","07299eb2-4b9e-43a9-be1d-abf172df7bd5",NULL,NULL,"68c5e748-cb12-476b-8210-c28e6d5f155d","1611407514879","68c5e748-cb12-476b-8210-c28e6d5f155d","1611407514879","5184000000"
"AIRPORT_NOC_SRV","noc-services","od","1953e95b-2e01-44fb-8f75-42249cafa90f",NULL,NULL,"68c5e748-cb12-476b-8210-c28e6d5f155d","1611407539686","68c5e748-cb12-476b-8210-c28e6d5f155d","1611407539686","5184000000"
"ARCHITECT","BPAREG","od","13598201-056d-4d09-8d4e-3a0a9f99a1cf",NULL,NULL,"5c4504e7-40e9-47e9-850e-1b33e699b879","1625200037999","5c4504e7-40e9-47e9-850e-1b33e699b879","1625200037999","2592000000"
"TECHNICALPERSON","BPAREG","od","9aed248c-ed88-4773-8417-09413d12dd21",NULL,NULL,"5c4504e7-40e9-47e9-850e-1b33e699b879","1625200037999","5c4504e7-40e9-47e9-850e-1b33e699b879","1625200037999","2592000000"
"NewTL","tl-services","od","144c9d04-9c4b-46f2-a678-2313d1b6d921",NULL,NULL,"5c4504e7-40e9-47e9-850e-1b33e699b879","1627481495577","5c4504e7-40e9-47e9-850e-1b33e699b879","1627481495577","172800000"
"EDITRENEWAL","tl-services","od","59dbb863-7023-4278-a072-7478a2657ad3",NULL,NULL,"5c4504e7-40e9-47e9-850e-1b33e699b879","1627481631000","5c4504e7-40e9-47e9-850e-1b33e699b879","1627481631000","172800000"
"ASMT","PT","od","12e6e274-a8f0-4bf6-ab14-2a11b9cd0a72",NULL,NULL,"5c4504e7-40e9-47e9-850e-1b33e699b879","1627483543983","5c4504e7-40e9-47e9-850e-1b33e699b879","1627483543983",NULL
"PT.CREATE","PT","od","a263d16b-1187-49fa-83b7-a5458d582b69",NULL,NULL,"5c4504e7-40e9-47e9-850e-1b33e699b879","1627483648072","5c4504e7-40e9-47e9-850e-1b33e699b879","1627483648072",NULL
"PT.MUTATION","PT","od","b8bb35e5-3cd6-4622-bbac-cfa035dba47e",NULL,NULL,"5c4504e7-40e9-47e9-850e-1b33e699b879","1627483692481","5c4504e7-40e9-47e9-850e-1b33e699b879","1627483692481",NULL
"ModifySWConnection","sw-services","od","320efeba-5d5d-4f1b-b9fa-f14a2e602244",NULL,NULL,"5c4504e7-40e9-47e9-850e-1b33e699b879","1627483817187","5c4504e7-40e9-47e9-850e-1b33e699b879","1627483817187","259200000"
"NewSW1","sw-services","od","392ec2c8-0181-4336-a73d-eaecdc3564aa",NULL,NULL,"5c4504e7-40e9-47e9-850e-1b33e699b879","1627483876625","5c4504e7-40e9-47e9-850e-1b33e699b879","1627483876625","259200000"
"SWCloseConnection","sw-services","od","389ade21-17ab-40c0-b67c-25ac86f634dc",NULL,NULL,"5c4504e7-40e9-47e9-850e-1b33e699b879","1627483923009","5c4504e7-40e9-47e9-850e-1b33e699b879","1627483923009","259200000"
"SWDisconnection","sw-services","od","1667524c-8f59-475a-95e5-928ed466070e",NULL,NULL,"5c4504e7-40e9-47e9-850e-1b33e699b879","1627483975735","5c4504e7-40e9-47e9-850e-1b33e699b879","1627483975735","259200000"
"SWOwnershipChange","sw-services","od","7a7a74ff-166e-4b74-b0d7-0b9a1c6c7031",NULL,NULL,"5c4504e7-40e9-47e9-850e-1b33e699b879","1627484029765","5c4504e7-40e9-47e9-850e-1b33e699b879","1627484029765","259200000"
"SWReconnection","sw-services","od","a8e754b4-913f-43f6-98a0-e6977e53a75e",NULL,NULL,"5c4504e7-40e9-47e9-850e-1b33e699b879","1627484075131","5c4504e7-40e9-47e9-850e-1b33e699b879","1627484075131","259200000"
