"businessservice","business","tenantid","uuid","geturi","posturi","createdby","createdtime","lastmodifiedby","lastmodifiedtime","businessservicesla"
AIRPORT_NOC_OFFLINE,noc-services,od,"6db90cbf-52ef-4ff3-8fb0-5f12861f01dd",,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1631192476000,"5897e5c7-9da5-4991-99f9-c66312b1e061",1631192476000,5184000000
AIRPORT_NOC_OFFLINE_old,noc-services,od,c24c026d-226f-4ca3-8657-6a8036849fe1,,,"095132c5-6c6a-4e63-861c-50119e81879b",1609770601842,"095132c5-6c6a-4e63-861c-50119e81879b",1609770601842,5184000000
AIRPORT_NOC_SRV,noc-services,od,ad9e7b35-7909-4ab4-80f6-333286b6a506,,,"095132c5-6c6a-4e63-861c-50119e81879b",1609770640360,"095132c5-6c6a-4e63-861c-50119e81879b",1609770640360,5184000000
ARCHITECT,BPAREG,od,"71e9c2d4-41d8-4048-8ad2-ae49e70a6399",,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1620034274265,"5897e5c7-9da5-4991-99f9-c66312b1e061",1620034274265,2592000000
ASMT,PT,od,efe71875-c9dd-4cf0-8e8d-bdb419dcaecb,,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1623931675702,"5897e5c7-9da5-4991-99f9-c66312b1e061",1623931675702,
BPA1,bpa-services,od,e1f67dea-fc90-450d-8e0e-c4fe5cbd554a,,,"1874eeef-0d83-46e6-a1ea-1a1d96625e7b",1612508132663,"52476c81-d588-4395-bf63-f605b19783ee",1663049564531,5184000000
BPA2,bpa-services,od,b7382576-b879-40a8-9409-ceea488f2dec,,,"1874eeef-0d83-46e6-a1ea-1a1d96625e7b",1612508240150,"52476c81-d588-4395-bf63-f605b19783ee",1663052849518,5184000000
BPA3,bpa-services,od,"08176da5-7ee8-478c-9ed5-d133ab3d4a45",,,"1874eeef-0d83-46e6-a1ea-1a1d96625e7b",1612507507135,"52476c81-d588-4395-bf63-f605b19783ee",1663053774311,5184000000
BPA4,bpa-services,od,"8bd84ac4-ab52-40bc-9528-1a90e8ed944c",,,"1874eeef-0d83-46e6-a1ea-1a1d96625e7b",1612507658565,"544cd456-0dba-42fe-a9f0-b33a691f9fcb",1655892759414,5184000000
BPA5,bpa-services,od,cbd095d4-d7d1-41ad-9aee-7fbaa16e94cb,,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1654152762877,"5897e5c7-9da5-4991-99f9-c66312b1e061",1654152762877,5184000000
